Timestamp|Full Names|Student ID|Hometown (surburb/town/province---e.g. Kabwata/Lusaka/Lusaka)|What is your programme Minor (e.g. Mathematics, Languages)|What made you decide on your programme minor?|Why did you decide to major pursue the B.ICTs Ed. Programme?|Did you study Computer Studies at secondary school?|Have you undergone any computer related training?|If your response to the question above is year, please provide details of the type of course and/or training|How many years experience do you have using computers?|Do you currently own a computer or have regular access to one?|List one interesting fact about yourself (e.g. I cycle everyday!):
2019/03/28 11:13:51 PM GMT+2|Participant1|c6476f43b01dd8a53e2d5ea2ae2413db|Chudleigh/Lusaka/Lusaka|Data Mining|I love data|I love computers|No|Yes|I have studied Computer Science|More than 5 years|Yes|I cycle everyday!
2019/03/28 11:55:27 PM GMT+2|Participant2|eedf8db73ac1dac81aede402ae3aab81|Copperbelt,luanshya,Mpatamato|Mathematics|I find it easy to study and understand|Wanted to acquire more knowledge about ICTs and contribute to technology|No|No||1 to 2 years|Yes|A day doesn't pass by without a joke,I feel laughing will make you feel like you are in another world 
2019/03/29 8:00:53 PM GMT+2|Participant3|98af912970920020748a468fe3b449fd|Mungule,senanga,western.|French|It was the best of my available options |"i have always wanted to do an 
ICT related program."|No|No||No Experience|Yes|
2019/03/30 11:25:30 AM GMT+2|Participant4|4feeb9cab471243d43ec3296d660f538|Lusaka|Religious studies|I just chose it|Because my results met the requirements |No|No||Less than 1 year|Yes|I like the internet
2019/03/31 3:26:35 AM GMT+2|Participant5|e30aa4ad6229d9f094aa5798569f703c|Lusaka |Civic education |My first option was Chinese but it was a major and came with additional courses increasing my courses to more than four. So I ended up picking civic education because I found it easy in high school |I had written the same program twice on my application form so the man collecting suggested B. ICTs Ed|No|No||Less than 1 year|No|I enjoy indie music 
2019/03/31 1:49:53 PM GMT+2|Participant6|a456f8d006faa22926986930b7522349|shibuyunji/ central pronvince|civic education|i want to know more of my rights and responsibilities as a zambian citizen and take part in passing the knowledge to those who do not know much about their role in democratic governance.|so that i can be part and parcel of the ever changing and developing digital world, and to take part in the zambia 2030 vision of having a digital zambia in all sectors of development.|No|No||No Experience|Yes|like exploring on IT technology
2019/03/31 1:51:38 PM GMT+2|Participant7|a456f8d006faa22926986930b7522349|shibuyunji/ central pronvince|civic education|i want to know more of my rights and responsibilities as a zambian citizen and take part in passing the knowledge to those who do not know much about their role in democratic governance.|so that i can be part and parcel of the ever changing and developing digital world, and to take part in the zambia 2030 vision of having a digital zambia in all sectors of development.|No|No||No Experience|Yes|like exploring on IT technology
2019/04/01 7:12:07 PM GMT+2|Participant8|f3723b194ea12bbc7b4040aede416be1|LUSAKA|RELIGIOUS STUDIES|TO HAVE KNOWLEDGE APPRECIATE OTHER RELIGIONS|I HAVE ALWAYS WANTED STUDY THIS PROGRAM |No|No||Less than 1 year|Yes|I ACCESS YOUTUBE ALMOST EVERYDAY
2019/04/01 7:31:40 PM GMT+2|Participant9|47f1c00713cf02769a52b433d21e413d|Vorna valley/Lusaka/Lusaka|Mathematics|I like math|I use computers a lot|Yes|No||More than 5 years|Yes|I play games
2019/04/02 12:02:08 PM GMT+2|Participant10|d982aa9c301dbfb5f1b2d1d6d703ba39|Tazara/mpika/muchinga|Civic education |to understand fully on nation affairs|to know more about it |No|No||No Experience|Yes|I read something new everyday
2019/04/02 12:02:10 PM GMT+2|Participant11|572adae2e52cf6a23f4ae9c939666abf|Ndeke village/kitwe/copperbelt|Civic education |Have always wanted to know the central ideal on which civic education is anchored to. |To know what's behind the digital world. |No|No||More than 5 years|Yes|I read different books
2019/04/02 12:02:23 PM GMT+2|Participant12|572adae2e52cf6a23f4ae9c939666abf|Ndeke village/kitwe/copperbelt|Civic education |Have always wanted to know the central ideal on which civic education is anchored to. |To know what's behind the digital world. |No|No||More than 5 years|Yes|I read different books
2019/04/02 5:54:58 PM GMT+2|Participant13|bed3f24be6becc81b4a6217bc054f870|Chazanga lusaka|History|Because I like it and I enjoy reading past events to avoid making mistakes in future.. |It's what I have always wanted since  primary school|No|No||No Experience|Yes|Like playing  around with a computer daily
2019/04/03 8:34:46 AM GMT+2|Participant14|058bcf7cbe93f598c0f6031ff8f1afc5|Lusaka |Art|It's something I've been doing,  so it seemed easier to choose art. |Because I love things dealing with computers and like teaching people at times.|Yes|Yes|Self taught computer coding. |1 to 2 years|No|I'm tall
2019/04/03 12:53:24 PM GMT+2|Participant15|8dc89b81a89aaa5372be4f4b35f76d9c|Pollen/kabwe/central|art and design|personal interests|because it seemed interesting to try|No|No||More than 5 years|No|i am a musician
