Community|SetSpec|Level
African Digital Health Library (ADHL) - Zambia|com_123456789_5087|Level 1
Agricultural Sciences|com_123456789_7|Level 1
Education|com_123456789_1|Level 1
Engineering|com_123456789_14|Level 1
Examination Past Papers|com_123456789_1093|Level 1
Humanities and Social Sciences|com_123456789_3|Level 1
Institute of Distace Education|com_123456789_96|Level 1
Institute of Economic and Social Research|com_123456789_15|Level 1
Law|com_123456789_8|Level 1
Library|com_123456789_92|Level 1
Medicine|com_123456789_10|Level 1
Mines|com_123456789_12|Level 1
Natural Sciences|com_123456789_9|Level 1
Students' Project/Research Reports|com_123456789_289|Level 1
Technical Development and Advisory Unit|com_123456789_17|Level 1
Theses and Dissertations|com_123456789_18|Level 1
University Collection|com_123456789_3577|Level 1
Veterinary Medicine|com_123456789_13|Level 1
Lusaka Apex Medical University|col_123456789_5109|Level 2
Medical Journal of Zambia|col_123456789_5183|Level 2
Ministry of Health|col_123456789_5088|Level 2
Mulungushi University|col_123456789_5155|Level 2
University of Barotseland|col_123456789_5154|Level 2
Zambia National Public Health Institute|col_123456789_5181|Level 2
Agricultural Economics and Extention Education|col_123456789_19|Level 2
Animal Science|col_123456789_20|Level 2
Crop Science|col_123456789_21|Level 2
Food Science and Technology|col_123456789_23|Level 2
Soil Science|col_123456789_22|Level 2
Adult Education and Extension Studies|col_123456789_2|Level 2
Education Administration and Policy Studies|col_123456789_24|Level 2
Educational Psychology, Sociology and Special Education|col_123456789_28|Level 2
Language and Social sciences Education|col_123456789_30|Level 2
Library and Information Studies|col_123456789_6|Level 2
Mathematics and Science Education|col_123456789_26|Level 2
Primary Education|col_123456789_33|Level 2
Religious Studies|col_123456789_1266|Level 2
Agricultural engineering|col_123456789_25|Level 2
Civil and environmental engineering|col_123456789_29|Level 2
Electrical and electronic engineering|col_123456789_31|Level 2
Geomatic Engineering|col_123456789_32|Level 2
Mechanical engineering|col_123456789_27|Level 2
Untitled|col_123456789_4005|Level 2
Adult Education first semester|col_123456789_1214|Level 2
Adult Education second semester|col_123456789_1215|Level 2
Adult Education-Full Year Courses|col_123456789_3582|Level 2
Adult Education-Mid Year Courses|col_123456789_3580|Level 2
Agriculture -Full Year Courses|col_123456789_3584|Level 2
Agriculture( First semester)|col_123456789_1094|Level 2
Agriculture(Second semester)|col_123456789_1095|Level 2
Agriculture-Mid Year Courses|col_123456789_3583|Level 2
Confucius Institute|col_123456789_4938|Level 2
Deferred / Supplementary Examination past papers first semester|col_123456789_1216|Level 2
Deferred / Supplementary Examination past papers second semester|col_123456789_1217|Level 2
Education ( First Semester)|col_123456789_1096|Level 2
Education ( Second Semester)|col_123456789_1097|Level 2
Education -Full Year Courses|col_123456789_3585|Level 2
Education -Mid Year Courses|col_123456789_3586|Level 2
Engineering (First Semester)|col_123456789_1098|Level 2
Engineering (Second Semester)|col_123456789_1099|Level 2
Engineering -Full Year Courses|col_123456789_3587|Level 2
Engineering -Mid Year Courses|col_123456789_3588|Level 2
Humanities and Social Sciences (Second Semester)|col_123456789_1101|Level 2
Humanities And Social Sciences -Full Year Courses|col_123456789_3589|Level 2
Humanities And Social Sciences -Mid Year Courses|col_123456789_3590|Level 2
Humanities and Social Sciences( First Semester)|col_123456789_2340|Level 2
Law ( First Semester)|col_123456789_1103|Level 2
Law ( Second Semester)|col_123456789_1104|Level 2
Law -Full Year Courses|col_123456789_3591|Level 2
Law -Mid Year Courses|col_123456789_3592|Level 2
Library and Information Studies ( First Semester)|col_123456789_1105|Level 2
Library And Information Studies -Full Year Courses|col_123456789_3594|Level 2
Library And Information Studies -Mid Year Courses|col_123456789_3595|Level 2
Library and Information Studies(Second Semester)|col_123456789_1106|Level 2
Medicine ( First Semester)|col_123456789_1107|Level 2
Medicine ( Second Semester)|col_123456789_1108|Level 2
Mines ( First Semester)|col_123456789_1111|Level 2
Mines ( Second Semester)|col_123456789_1112|Level 2
Mines -Full Year Course|col_123456789_3596|Level 2
Mines -Mid Year Courses|col_123456789_3597|Level 2
Natural Sciences ( First Semester)|col_123456789_2364|Level 2
Natural Sciences ( Second Semester)|col_123456789_2365|Level 2
Natural Sciences -Full Year Courses|col_123456789_3598|Level 2
Natural Sciences -Mid Year Courses|col_123456789_3599|Level 2
Untitled|col_123456789_4005|Level 2
UNZA-ZOU Post Graduate Past Examination Papers|col_123456789_5072|Level 2
Verterinary Medicine ( First Semester)|col_123456789_1109|Level 2
Verterinary Medicine ( Second Semester)|col_123456789_1110|Level 2
Veterinary Full Year courses Exams|col_123456789_3986|Level 2
Veterinary Mid Year Exams|col_123456789_3985|Level 2
Audio Visual|col_123456789_1944|Level 2
Demography|col_123456789_286|Level 2
Development Studies|col_123456789_35|Level 2
Economics|col_123456789_41|Level 2
Gender Studies|col_123456789_50|Level 2
History|col_123456789_34|Level 2
Literature and Languages|col_123456789_49|Level 2
Mass Communication|col_123456789_48|Level 2
Philosophy and Applied Ethics|col_123456789_47|Level 2
Political and Administrative Studies|col_123456789_43|Level 2
Psychology|col_123456789_45|Level 2
Social Development Studies|col_123456789_46|Level 2
no sub-community||Level 2
Agricultural and Rural Development|col_123456789_38|Level 2
Economic and Business Research|col_123456789_37|Level 2
Governance Research|col_123456789_42|Level 2
Health Promotion Research|col_123456789_39|Level 2
Social and Cultural Research|col_123456789_44|Level 2
Urban Development Research|col_123456789_36|Level 2
no sub-community||Level 2
Annual Reports|col_123456789_1288|Level 2
E-Reserve|col_123456789_4727|Level 2
Main Library|col_123456789_93|Level 2
Medical Library|col_123456789_95|Level 2
Veterinary Library|col_123456789_94|Level 2
Anatomy|col_123456789_51|Level 2
Clinical Medicine|col_123456789_52|Level 2
Community Health|col_123456789_53|Level 2
Nursing Sciences|col_123456789_61|Level 2
Obstetrics and Gynaecology|col_123456789_54|Level 2
Paediatrics and Child Health|col_123456789_55|Level 2
Pathology and Microbiology|col_123456789_57|Level 2
Physiological Sciences|col_123456789_58|Level 2
Psychiatry|col_123456789_60|Level 2
Surgery|col_123456789_59|Level 2
Geology|col_123456789_63|Level 2
Integrated Water Resources Management Centre (IWRMC)|col_123456789_1287|Level 2
Mathematics and Statistics|col_123456789_85|Level 2
Metallurgy and Mineral Processing|col_123456789_64|Level 2
Mining Engineering|col_123456789_65|Level 2
Biological Sciences|col_123456789_68|Level 2
Chemistry|col_123456789_72|Level 2
Computer Studies|col_123456789_74|Level 2
Geography|col_123456789_78|Level 2
Mathematics|col_123456789_1296|Level 2
Physics|col_123456789_80|Level 2
Agriculture|col_123456789_290|Level 2
Education|com_123456789_1|Level 2
Engineering|com_123456789_14|Level 2
Humanities and social Sciences|com_123456789_3|Level 2
Law|com_123456789_8|Level 2
Medicine|com_123456789_10|Level 2
Mines|com_123456789_12|Level 2
Natural Sciences|com_123456789_9|Level 2
Veterinary Medicine|com_123456789_13|Level 2
Agriculture and Food Processing|col_123456789_88|Level 2
Building materials|col_123456789_89|Level 2
Renewable Energy|col_123456789_87|Level 2
Water and Sanitation.|col_123456789_90|Level 2
Agricultural Sciences|com_123456789_7|Level 2
Education|com_123456789_1|Level 2
Engineering|com_123456789_14|Level 2
Humanities and Social Sciences|com_123456789_3|Level 2
Institute of Distance Education|col_123456789_4936|Level 2
Law|com_123456789_8|Level 2
Library|com_123456789_92|Level 2
Medicine|com_123456789_10|Level 2
Mines|com_123456789_12|Level 2
Natural Sciences|com_123456789_9|Level 2
Veterinary Medicine|com_123456789_13|Level 2
no sub-community||Level 2
Biomedical Sciences|col_123456789_69|Level 2
Clinical Studies|col_123456789_71|Level 2
Disease Control|col_123456789_70|Level 2
ParaClinical studies|col_123456789_73|Level 2
